name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	10	10	0	20	20	-1	100	100	-1	46	46	-1	32	32	-1	100	100	-1	100	100	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	7	7	-1
request_2	1	1	0	90	90	-1	90	90	-1	90	90	-1	0	0	-1	90	90	-1	90	90	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_3	1	1	0	90	90	-1	90	90	-1	90	90	-1	0	0	-1	90	90	-1	90	90	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_10	1	1	0	40	40	-1	40	40	-1	40	40	-1	0	0	-1	40	40	-1	40	40	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_1	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_6	1	1	0	40	40	-1	40	40	-1	40	40	-1	0	0	-1	40	40	-1	40	40	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_7	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_4	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_5	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_8	1	1	0	20	20	-1	20	20	-1	20	20	-1	0	0	-1	20	20	-1	20	20	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1
request_9	1	1	0	100	100	-1	100	100	-1	100	100	-1	0	0	-1	100	100	-1	100	100	-1	t < 800 ms	1	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	1	1	-1

