name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	7500	7499	1	10	10	61310	63700	63700	61310	4266	4258	61310	7031	7042	0	21090	21080	61310	30760	30560	61310	t < 800 ms	3595	47	800 ms < t < 1200 ms	390	5	t > 1200 ms	3514	46	failed	1	0	92	92	0
request_2	750	750	0	230	230	-1	63700	63700	-1	6496	6496	-1	6313	6313	-1	21300	21300	-1	31090	31090	-1	t < 800 ms	8	1	800 ms < t < 1200 ms	39	5	t > 1200 ms	703	93	failed	0	0	9	9	-1
request_3	750	750	0	90	90	-1	48480	48480	-1	13044	13044	-1	6926	6926	-1	24820	24820	-1	30910	30910	-1	t < 800 ms	22	2	800 ms < t < 1200 ms	6	0	t > 1200 ms	722	96	failed	0	0	9	9	-1
request_10	750	750	0	20	20	-1	8400	8400	-1	749	749	-1	883	883	-1	2370	2370	-1	4410	4410	-1	t < 800 ms	542	72	800 ms < t < 1200 ms	67	8	t > 1200 ms	141	18	failed	0	0	9	9	-1
request_1	750	750	0	20	20	-1	26550	26550	-1	2035	2035	-1	2955	2955	-1	6070	6070	-1	16400	16400	-1	t < 800 ms	350	46	800 ms < t < 1200 ms	53	7	t > 1200 ms	347	46	failed	0	0	9	9	-1
request_6	750	750	0	20	20	-1	36450	36450	-1	1425	1425	-1	2373	2373	-1	4320	4320	-1	13130	13130	-1	t < 800 ms	372	49	800 ms < t < 1200 ms	114	15	t > 1200 ms	264	35	failed	0	0	9	9	-1
request_7	750	750	0	10	10	-1	11330	11330	-1	577	577	-1	935	935	-1	2270	2270	-1	3830	3830	-1	t < 800 ms	614	81	800 ms < t < 1200 ms	20	2	t > 1200 ms	116	15	failed	0	0	9	9	-1
request_4	750	749	1	10	10	61310	61310	36550	61310	1282	1202	61310	1997	2216	0	3620	3610	61310	8520	7420	61310	t < 800 ms	482	64	800 ms < t < 1200 ms	31	4	t > 1200 ms	236	31	failed	1	0	9	9	0
request_5	750	750	0	10	10	-1	41570	41570	-1	1075	1075	-1	1975	1975	-1	3450	3450	-1	7620	7620	-1	t < 800 ms	509	67	800 ms < t < 1200 ms	33	4	t > 1200 ms	208	27	failed	0	0	9	9	-1
request_8	750	750	0	10	10	-1	27660	27660	-1	635	635	-1	1856	1856	-1	2060	2060	-1	6980	6980	-1	t < 800 ms	629	83	800 ms < t < 1200 ms	14	1	t > 1200 ms	107	14	failed	0	0	9	9	-1
request_9	750	750	0	90	90	-1	42440	42440	-1	15339	15339	-1	10163	10163	-1	33380	33380	-1	39090	39090	-1	t < 800 ms	67	8	800 ms < t < 1200 ms	13	1	t > 1200 ms	670	89	failed	0	0	9	9	-1

