name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	130	30	100	0	20	0	220	220	110	28	62	18	37	45	27	100	150	80	150	220	110	t < 800 ms	30	23	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	100	76	104	24	80
request_2	10	0	10	0	-1	0	40	-1	40	13	-1	13	12	-1	12	40	-1	40	40	-1	40	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_3	10	0	10	10	-1	10	80	-1	80	31	-1	31	21	-1	21	80	-1	80	80	-1	80	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_1	10	0	10	0	-1	0	20	-1	20	11	-1	11	7	-1	7	20	-1	20	20	-1	20	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_6	10	10	0	90	90	-1	220	220	-1	116	116	-1	38	38	-1	220	220	-1	220	220	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	8	8	-1
request_7	10	0	10	0	-1	0	10	-1	10	2	-1	2	4	-1	4	10	-1	10	10	-1	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_4	10	0	10	0	-1	0	110	-1	110	58	-1	58	33	-1	33	110	-1	110	110	-1	110	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_5	10	0	10	20	-1	20	110	-1	110	58	-1	58	25	-1	25	110	-1	110	110	-1	110	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_8	10	10	0	20	20	-1	30	30	-1	26	26	-1	5	5	-1	30	30	-1	30	30	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	8	8	-1
request_11	10	0	10	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_12	10	0	10	0	-1	0	10	-1	10	1	-1	1	3	-1	3	10	-1	10	10	-1	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_13	10	10	0	40	40	-1	80	80	-1	44	44	-1	12	12	-1	80	80	-1	80	80	-1	t < 800 ms	10	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	8	8	-1
request_14	10	0	10	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	0	-1	0	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8
request_10	10	0	10	0	-1	0	10	-1	10	2	-1	2	4	-1	4	10	-1	10	10	-1	10	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	10	100	8	-1	8

